"Table","FieldCount","PhysicalName","LogicalDatabase","Connection","KeyFields","FirstFields"
"Tournee_Numerique_Expedition","19","Tournee_Numerique_Expedition","Tournee_Numerique_Expedition","_127_0_0_1_Opentrans","IDExpedition, IDTemp_tournee, IDTemp_tournee_IDExpedition","IDExpedition, IDTemp_tournee, IDTemp_tournee_IDExpedition, Livraison, Enlevement, Latitude, Longitude, HeureArrivePrevu, HeureArriveReel, HeureDepartPrevu, HeureDepartReel, HeureArriveCalcul"
"Connexion","18","Connexion","Connexion","_127_0_0_1_Opentrans","IDConnexion, date_application, Cle_transfert, Type_date","IDConnexion, Nom_acces_reseau_a_distance, Adresse_Ftp, Numero_port, delai_Connexion, Login, Password, Anonyme, Avance, Type_transfert, date_application, Cle_transfert"
"Utilisateur","18","Utilisateur","Utilisateur","_127_0_0_1_Opentrans","IDUtilisateur, cle_unique_agence, Nom_utilisateur, prenom_utilisateur, Cle_unique_utilisateur, CleComp","IDUtilisateur, cle_unique_agence, Nom_utilisateur, prenom_utilisateur, Mot_de_passe, Cle_unique_utilisateur, Login, CleComp, date_livre_de_caisse, Pas_de_controle_sur_le_nb_connection, Code_regroupement, Email_contact"
"StatCli","18","StatCli","StatCli","_127_0_0_1_Opentrans","Idstatcli, Numdisque, AAMM, OptimCleComp_Numdi_AAMM","Idstatcli, Numdisque, Ca_periode, Nb_pos_periode, Nb_colis_periode, Poids_periode, Sst_periode, Nb_Avis_souffrance_periode, Ca_periode_1, Nb_pos_periode_1, Nb_colis_periode_1, Poids_periode_1"
"Fax","17","Fax","Fax","_127_0_0_1_Opentrans","IDFax, date_envoi, IDHistorique, Reference, fax_Re�u, fax_ano","IDFax, Type, date_envoi, Heure_envoi, Num_fax, Nom_agence_emetrice, date_accuse, Heure_accuse, document_joint, accuse_simple, accuse_complet, IDHistorique"
"Affretes","17","Affretes","Affretes","_127_0_0_1_Opentrans","IDAffretes, Idagence, NomCode_PaysCode_PostalVille","IDAffretes, Nom, Adresse1, Adresse2, Adresse3, Code_Pays, Code_Postal, Ville, Telephone, Fax, Email_contact, Identifiant_TVA"
"Societe","17","Societe","Societe","_127_0_0_1_Opentrans","IDSociete, Nom, Code_societe","IDSociete, Nom, Adresse1, Adresse2, Adresse3, Code_Pays, Code_Postal, Ville, N_Tel, N_fax, E_mail, Code_societe"
"Tbmail","16","Tbmail","Tbmail","_127_0_0_1_Opentrans","IDTbmail","IDTbmail, destinataire, fichier_joint, Lib_sujet, Date_emission, Heure_emission, code_erreur, libelle_erreur, Sujet_mail, Texte_mail, Utilisateur, Mot_de_passe"
"Facture_temp","16","Facture_temp","Facture_temp","_127_0_0_1_Opentrans","IDFacture_temp, cle_unique_agence, Cle_facturation_client, cle_facturation_arrivage, IDExpedition, IDHistorique","IDFacture_temp, cle_unique_agence, Compte_payeur, Code_produit, Code_validation_facture, date_depart, Recepisse, Numero_bdx_groupage, Cle_facturation_client, cle_facturation_arrivage, IDExpedition, seconde_presentation"
"Histo_pci","15","Histo_pci","Histo_pci","_127_0_0_1_Opentrans","IDHisto_pci, IDExpedition, Pci_expedition, transmis, Code_plateforme, OptimCleComp_Pci_e_IDExp_Heure_DATE_Code__Code_, OptimCleComp_trans_Code_","IDHisto_pci, IDExpedition, Pci_expedition, Code_situation, Code_justification, date, Heure, Contenant, transmis, Code_plateforme, Traction, Palette_consignee"
"statcli_gen","15","statcli_gen","statcli_gen","_127_0_0_1_Opentrans","IDstatcli_gen, idclient, AA, OptimCleComp_MM_AA, OptimCleComp_MM_idcli_Code__AA, idclientAAMM","IDstatcli_gen, idclient, AA, MM, Nb_pos, Nb_colis, Poids, Ca_periode, sst, Nb_Avis_souffrance_periode, OptimCleComp_MM_AA, Code_produit"
"FacMensuelle","15","FacMensuelle","Facdic1","_127_0_0_1_Opentrans","IDFacmensuelle, cle_unique_agence, Code_validation, OptimCleComp_1, cle_unique_agenceCode_validation, cle_unique_agenceCompte_payeurPeriode_AA_MM, IDFacture_Entete","IDFacmensuelle, cle_unique_agence, date_facture, Compte_payeur, Libelle, Code_validation, Numero_facture, code_tva, Montant, code_produit, OptimCleComp_1, cle_unique_agenceCode_validation"
"Destinataire","15","Destinataire","Destinataire","_127_0_0_1_Opentrans","IDDestinataire, IDClients, cle_unique_agence, cle_unique_agenceIDClientsNom_destinataire, cle_unique_agenceIDClientsIDDestinataire","IDDestinataire, IDClients, Nom_destinataire, adresse_1, adresse_2, adresse_3, Pays_des, Code_postal_des, tel_des, cle_unique_agence, cle_unique_agenceIDClientsNom_destinataire, Ville_des"
"Tournee_Numerique","15","Tournee_Numerique","Temp_tournee1","_127_0_0_1_Opentrans","IDTournee_Numerique, code_tourn�e, date_tournee, IDChauffeur, CodeVehicule, code_tourn�edate_tournee, IDAppareil_Mobile","IDTournee_Numerique, code_tourn�e, date_tournee, IDChauffeur, ModeScannageChargement, CodeVehicule, HeureDepartPrevu, HeureDepartReel, code_tourn�edate_tournee, IDAppareil_Mobile, Indice_Tour, KmDepart"
"Avoir","14","Avoir","Avoir","_127_0_0_1_Opentrans","IDAvoir, cle_unique_agence, Code_validation, OptimCleComp_1, cle_unique_agenceCode_validation, IDFacture_Entete, Mise_a_jour_stat","IDAvoir, cle_unique_agence, Date_avoir, Compte_payeur, Libelle, Code_validation, Numero_facture, code_tva, Montant, code_produit, OptimCleComp_1, cle_unique_agenceCode_validation"
"FacDiv","14","FacDiv","Facdic","_127_0_0_1_Opentrans","IDFac, cle_unique_agence, Code_validation, OptimCleComp_1, cle_unique_agenceCode_validation, IDFacture_Entete, Mise_a_jour_stat","IDFac, cle_unique_agence, date_facture, Compte_payeur, Libelle, Code_validation, Numero_facture, code_tva, Montant, code_produit, OptimCleComp_1, cle_unique_agenceCode_validation"
"Timbre","14","Timbre","Timbre","_127_0_0_1_Opentrans","IDTimbre, cle_unique_agence, Agence_code_date, Agence_type, Agence_code_type, Agence_code_type_date, cle_unique_agenceType_timbrecode_timbreDate_application","IDTimbre, cle_unique_agence, code_timbre, Type_timbre, Forfait, Tranche_montant, Montant_additionel, Date_application, Agence_code_date, Agence_type, Agence_code_type, Agence_code_type_date"
"arch_Histo_pci","14","arch_Histo_pci","Histo_pci1","_127_0_0_1_Opentrans","IDHisto_pci, IDExpedition, Pci_expedition, transmis, Code_plateforme, OptimCleComp_Pci_e_IDExp_Heure_DATE_Code__Code_","IDHisto_pci, IDExpedition, Pci_expedition, Code_situation, Code_justification, date, Heure, Contenant, transmis, Code_plateforme, Traction, Palette_consignee"
"Decoupage","14","Decoupage","Decoupage","_127_0_0_1_Opentrans","IDDecoupage, cle_unique_agence, Nom_decoupage, Code_Pays, Departement, Code_Postal, Reference, Agence_nom, Cle_totale, Decoupage_cle_unique","IDDecoupage, cle_unique_agence, Nom_decoupage, Code_Pays, Departement, Code_Postal, Reference, Agence_nom, Cle_totale, Decoupage_cle_unique, Cle_decoupage, cle_unique_agenceNom_decoupageCode_PaysDepartementCode_Postal"
"Entstatliv","14","Entstatliv","Entstatliv","","IDEntstatliv, code_clientscode_produitdate_bordereau_groupageCode_Pays","IDEntstatliv, date_bordereau_groupage, code_clients, Date_liv_theorique, Nb_pos, Nb_pos_liv_delai, code_produit, Code_Pays, code_clientscode_produitdate_bordereau_groupageCode_Pays, nb_pos_net, nb_pos_gele, nb_pos_non_renseignee"
"Tarif","14","Tarif","Tarif","_127_0_0_1_Opentrans","IDTarif, cle_unique_agence, Agence_code_date, Tarif_cle_unique, Agence_code, Nom_decoupage, cle_unique_agencecode_borne, cle_unique_agenceCode_tarifdate_applicationNom_decoupage","IDTarif, cle_unique_agence, Code_tarif, date_application, type_tarif, Prix, taxe_annexe, Agence_code_date, Tarif_cle_unique, Agence_code, Nom_decoupage, code_borne"
"Facture_regroup","13","Facture_regroup","Facture_regroup","_127_0_0_1_Opentrans","IDFacture_regroup, cle_unique_agence, Numero_Facture, IDClients_expedition, OptimCleComp_IDCli_Compt_cle_u, OptimCleComp_Compt_cle_u","IDFacture_regroup, Compte_Facturation, Nb_pos, Nb_colis, Poids_total, Montant_total, cle_unique_agence, Numero_Facture, Date_facturation, IDClients_expedition, OptimCleComp_IDCli_Compt_cle_u, OptimCleComp_Compt_cle_u"
